id,lesson_id,role_entry_id,section,item_type,title,mei,maker,note,created_at
1,2,,chashitsu,okashi,,水無月,,,"2026-03-25 05:32:33.65316"
2,2,,chashitsu,kakejiku,,,,露堂々（明歴々露堂々）：真理や本質が隠されることなく、はっきりと現れているさま。,"2026-03-25 05:32:34.410458"
3,2,1,teishu,chashaku,,潮騒,坐忘斎お家元,,"2026-03-25 05:32:36.063388"
4,3,,chashitsu,okashi,紅谷,うぐいす餅,,,"2026-03-25 05:37:00.21423"
5,3,3,teishu,chashaku,,香雪,,梅の異名,"2026-03-25 05:37:01.860439"
6,3,3,teishu,shifuku,,,夕湖,,"2026-03-25 05:37:02.694454"
14,4,,chashitsu,okashi,鶴屋吉信,花紅,,,"2026-03-26 00:31:32.185587"
15,4,,chashitsu,kakejiku,,,,弄花香満衣（はなをろうすれば　かおり　ころもにみつ）,"2026-03-26 00:31:33.230142"
16,4,,chashitsu,hana,,,,白玉ツバキ、さんしゅゆ,"2026-03-26 00:31:34.334774"
17,4,7,teishu,chawan,,無常,長次郎写,,"2026-03-26 00:31:36.594546"
18,4,7,teishu,chashaku,,一隅,坐忘斎お家元,,"2026-03-26 00:31:37.725371"
19,4,7,teishu,chaki,肩衝,,瀬戸,,"2026-03-26 00:31:38.949315"
20,4,7,teishu,shifuku,金襴間道,,夕湖,,"2026-03-26 00:31:40.076469"
21,5,,chashitsu,okashi,鶴屋吉信,桃李,,,"2026-03-26 00:36:23.824684"
22,5,,chashitsu,kakejiku,,,,"看脚下（黄梅院 小林太玄老師筆）","2026-03-26 00:36:24.956599"
23,5,,chashitsu,hana,,,,西王母、ミツマタ,"2026-03-26 00:36:26.080979"
24,5,9,teishu,shifuku,,,夕湖,,"2026-03-26 00:36:28.634749"
29,6,,chashitsu,okashi,鶴屋八幡,うぐいす餅,,,"2026-03-26 00:51:35.534631"
30,6,,chashitsu,kakejiku,,,,明歴々露堂々（鵬雲斎宗匠筆）,"2026-03-26 00:51:36.677995"
31,6,,chashitsu,hana,,,,加茂本阿弥椿、南高梅,"2026-03-26 00:51:37.789932"
32,6,13,teishu,chaki,利休型中棗,,,中村宗哲,"2026-03-26 00:51:40.040776"
47,7,,chashitsu,okashi,紅屋,爛漫,,,"2026-04-07 15:26:07.245207"
48,7,,chashitsu,kakejiku,,,,"柳緑花紅
鵬雲斎筆","2026-04-07 15:26:08.369218"
49,7,,chashitsu,hana,,,,菜の花,"2026-04-07 15:26:09.503092"
50,7,,chashitsu,花入,,,,唐津焼,"2026-04-07 15:26:10.628417"
51,7,,chashitsu,水指,,,,絵唐津,"2026-04-07 15:26:11.744473"
52,7,,chashitsu,釜,,,,透木釜,"2026-04-07 15:26:12.873821"
53,7,19,teishu,chawan,京焼,,,,"2026-04-07 15:26:15.134293"
54,7,19,teishu,chashaku,,香具山,坐忘斎お家元,,"2026-04-07 15:26:16.356486"
58,8,,chashitsu,okashi,鶴屋慶喜,,,,"2026-04-14 13:21:30.080719"
59,8,,chashitsu,hana,,,,鉄線と猫柳,"2026-04-14 13:21:31.172634"
60,8,23,teishu,chashaku,,岩躑躅,,,"2026-04-14 13:21:33.413012"
66,9,,chashitsu,okashi,鶴屋八幡,広沢,,,"2026-04-21 14:50:11.915551"
67,9,27,teishu,chashaku,,穀雨,坐忘斎御家元,,"2026-04-21 14:50:14.173191"
68,9,27,teishu,chaki,平棗,,,,"2026-04-21 14:50:15.297674"
69,9,28,kyaku,chashaku,,五福,,長寿、富、健康、徳を積むこと、天寿を全うすること,"2026-04-21 14:50:17.553189"
